id,type,wait_time,conflicts,status
7990,conservative,0,0,exited
6953,conservative,0,0,exited
9502,aggressive,0.22,0,exited
3451,conservative,0.08,0,exited
1421,conservative,0,0,in_sim
3982,conservative,0,0,in_sim
3381,conservative,0.1,0,in_sim
2647,conservative,0.2,0,in_sim
8074,conservative,1.48,0,in_sim
9160,aggressive,1.46,0,in_sim
2025,aggressive,7.28,0,in_sim
2282,conservative,14.36,0,in_sim
3154,conservative,0,0,in_sim
9913,conservative,0,0,in_sim
6892,aggressive,0,0,in_sim
3202,conservative,0.84,0,in_sim
7869,conservative,0,0,in_sim
9255,conservative,0,0,in_sim
7316,conservative,0,0,in_sim
5466,aggressive,0,0,in_sim
8484,conservative,0,0,in_sim
5504,aggressive,0,0,in_sim
3271,conservative,0,0,in_sim
8515,aggressive,0,0,in_sim
8406,conservative,0,0,in_sim
9536,conservative,0,0,in_sim
6445,aggressive,0,0,in_sim
5823,conservative,0,0,in_sim
2381,aggressive,0,0,in_sim
9930,conservative,0,0,in_sim
7765,aggressive,0,0,in_sim
7051,conservative,0,0,in_sim
1247,aggressive,0,0,in_sim
4149,conservative,0,0,in_sim
7694,conservative,0,0,in_sim
7157,aggressive,0,0,in_sim
4254,conservative,0,0,in_sim
3033,conservative,0,0,in_sim
9356,conservative,0,0,in_sim
2898,conservative,0,0,in_sim
9499,conservative,0,0,in_sim
4415,conservative,0,0,in_sim
6942,conservative,0,0,in_sim
9542,conservative,0,0,in_sim
5457,conservative,0,0,in_sim
7978,conservative,0,0,in_sim
5076,conservative,0,0,in_sim
9218,conservative,0,0,in_sim
3087,conservative,0,0,in_sim
4812,conservative,0,0,in_sim
8987,conservative,0,0,in_sim
1876,conservative,0,0,in_sim
5222,conservative,0,0,in_sim
4914,conservative,0,0,in_sim
9485,conservative,0,0,in_sim
2257,conservative,0,0,in_sim
5060,conservative,0,0,in_sim
6303,conservative,0,0,in_sim
3163,conservative,0,0,in_sim
2084,conservative,0,0,in_sim
1807,conservative,0,0,in_sim
4466,conservative,0,0,in_sim
3048,conservative,0,0,in_sim
4758,conservative,0,0,in_sim
3713,conservative,0,0,in_sim
1914,conservative,0,0,in_sim
5528,conservative,0,0,in_sim
2784,conservative,0,0,in_sim
9426,aggressive,0,0,in_sim
5779,conservative,0,0,in_sim
3089,conservative,0,0,in_sim
7149,aggressive,0,0,in_sim
2565,conservative,0,0,in_sim
9213,conservative,0,0,in_sim
7662,conservative,0,0,in_sim
3349,conservative,0,0,in_sim
8698,conservative,0,0,in_sim
2047,conservative,0,0,in_sim
6641,aggressive,0,0,in_sim
6557,conservative,0,0,in_sim
5297,aggressive,0,0,in_sim
7382,conservative,0,0,in_sim
3148,conservative,0,0,in_sim
4540,conservative,0,0,in_sim
8931,conservative,0,0,in_sim
9526,conservative,0,0,in_sim
4357,conservative,0,0,in_sim
5423,aggressive,0,0,in_sim
1471,conservative,0,0,in_sim
7375,conservative,0,0,in_sim
1340,conservative,0,0,in_sim
